start_time,end_time,speaker,text
0:00:00,0:00:02,Person 3,"Yes, yes."
0:00:02,0:00:04,Person 3,What do I have down?
0:00:04,0:00:06,Person 3,"Sorry, I just got to quickly check."
0:00:06,0:00:08,Person 3,What do I have down?
0:00:08,0:00:10,Person 3,"Oh yeah, okay, alright."
0:00:16,0:00:18,Person 3,"You're lucky, the first one's the hard one."
0:00:20,0:00:22,Person 3,"Hi, how you doing?"
0:00:24,0:00:26,Person 3,Alright.
0:00:30,0:00:32,Person 3,"This one, please."
0:00:36,0:00:38,Person 3,"Oh dear, I need..."
0:00:40,0:00:42,Person 3,This one.
0:00:46,0:00:48,Person 3,Down there.
0:00:54,0:00:56,Person 3,Alright.
0:00:56,0:00:58,Person 3,Um.
0:00:58,0:01:00,Person 3,Alright.
0:01:22,0:01:24,Person 2,"So, is this the one we should start with?"
0:01:24,0:01:26,Person 3,Yes.
0:01:26,0:01:28,Person 1,"Okay, I'm just..."
0:01:32,0:01:34,Person 1,"Okay, yeah, I got it."
0:01:34,0:01:36,Person 1,"Yeah, I got it."
0:01:36,0:01:38,Person 1,"Yeah, I got it."
0:01:56,0:01:58,Person 3,I need to go...
0:02:12,0:02:14,Person 1,I can't see anything.
0:02:14,0:02:16,Person 3,"Yeah, you can't see anything because it's just over there."
0:02:16,0:02:18,Person 1,"Okay, okay."
0:02:18,0:02:20,Person 3,I'm just going to sit here.
0:02:20,0:02:22,Person 1,"Oh, okay."
0:02:22,0:02:24,Person 3,Where should we go here?
0:02:24,0:02:26,Person 1,"Here, okay."
0:02:28,0:02:30,Person 3,So you can start.
0:02:32,0:02:34,Person 1,"Hi, Shankar."
0:02:34,0:02:36,Person 2,"Hi, I'm good."
0:02:36,0:02:44,Person 2,"So, you can start with the 10 green, dark green slim ones."
0:02:44,0:02:46,Person 1,The 10?
0:02:46,0:02:48,Person 2,Dark green one.
0:02:48,0:02:50,Person 1,Okay.
0:02:50,0:02:52,Person 2,Slim one.
0:02:52,0:02:56,Person 2,"Then two block, thick one, pink color."
0:02:56,0:02:58,Person 1,Okay.
0:02:58,0:03:00,Person 1,I should place at the end?
0:03:00,0:03:04,Person 2,"Yeah, place at the end, but not in the..."
0:03:04,0:03:06,Person 2,Place it in the...
0:03:06,0:03:10,Person 2,"Not in the opposite direction, like not in..."
0:03:10,0:03:12,Person 1,Like this?
0:03:12,0:03:14,Person 2,"Yeah, show me."
0:03:14,0:03:16,Person 2,"No, no, show me, I'm not able to see it."
0:03:16,0:03:18,Person 1,Like this?
0:03:18,0:03:20,Person 2,Little more up.
0:03:20,0:03:22,Person 2,"Yeah, yeah, like that."
0:03:22,0:03:24,Person 2,So same with the other end.
0:03:26,0:03:28,Person 1,Can you see now?
0:03:28,0:03:30,Person 2,Yeah.
0:03:30,0:03:32,Person 1,Okay.
0:03:32,0:03:34,Person 2,"No, little bit up, keep it a little bit up."
0:03:34,0:03:36,Person 1,Okay.
0:03:36,0:03:36,Person 1,Okay.
0:03:36,0:03:38,Person 2,"No, the model..."
0:03:38,0:03:40,Person 2,"No, below, I'm not able to see anything."
0:03:40,0:03:42,Person 1,Now?
0:03:42,0:03:44,Person 2,Little below.
0:03:44,0:03:46,Person 2,Little.
0:03:46,0:03:48,Person 1,Now?
0:03:48,0:03:50,Person 2,Uh huh.
0:03:50,0:03:52,Person 1,Okay.
0:03:52,0:03:58,Person 2,"Like now take the pink color, that beam like one, structure."
0:03:58,0:04:00,Person 1,"Beam, okay, this one?"
0:04:00,0:04:02,Person 2,Not able to see it.
0:04:04,0:04:06,Person 2,"Yeah, yeah, little above."
0:04:14,0:04:16,Person 2,Little below.
0:04:16,0:04:17,Person 1,Okay.
0:04:16,0:04:20,Person 2,"I'm just seeing the corner of the table, not the center of the table."
0:04:22,0:04:24,Person 1,Now you can see?
0:04:24,0:04:26,Person 2,No.
0:04:26,0:04:28,Person 2,"Little below, little below, yeah."
0:04:28,0:04:30,Person 1,"Actually now what you can see, what exact image you can see?"
0:04:30,0:04:32,Person 2,Like the corner of the table.
0:04:32,0:04:34,Person 1,Okay.
0:04:44,0:04:46,Person 1,I couldn't able to look.
0:04:48,0:04:50,Person 1,Actually I couldn't able to bring it.
0:04:50,0:04:52,Person 1,So I put it slightly.
0:04:54,0:04:56,Person 1,"Yeah, this one?"
0:04:56,0:04:58,Person 3,That's gonna be the chair.
0:04:58,0:05:00,Person 1,Okay.
0:05:02,0:05:04,Person 3,I didn't want that.
0:05:06,0:05:12,Person 3,So I can shift that and then change it so that...
0:05:12,0:05:14,Person 3,And I can do this.
0:05:14,0:05:18,Person 3,So I can move it back and forwards like that.
0:05:18,0:05:22,Person 3,And I can shift that depending on the head.
0:05:22,0:05:24,Person 3,So this is what I'm doing to change it.
0:05:24,0:05:28,Person 3,So try to get the same image.
0:05:32,0:05:42,Person 3,Supervisor's see who's standing up.
0:05:42,0:05:44,Person 2,Yeah.
0:05:52,0:05:54,Person 1,Can you able to see now?
0:05:54,0:05:54,Person 2,No.
0:05:54,0:05:56,Person 3,"Okay, so..."
0:05:58,0:06:00,Person 3,We can look at it down.
0:06:02,0:06:04,Person 3,Can you see?
0:06:08,0:06:14,Person 3,The idea is to try and get the coordinates at the corner.
0:06:14,0:06:16,Person 2,Yeah.
0:06:16,0:06:18,Person 1,Center point?
0:06:18,0:06:20,Person 3,"Yes, so the center point should be the same."
0:06:20,0:06:22,Person 1,"Okay, I don't know where to start."
0:06:22,0:06:26,Person 3,So that's why I try again.
0:06:26,0:06:28,Person 2,"Yeah, that works fine."
0:06:28,0:06:30,Person 1,Now I'm fine?
0:06:30,0:06:31,Person 2,Yeah.
0:06:30,0:06:32,Person 1,Okay.
0:06:32,0:06:33,Person 2,Okay.
0:06:34,0:06:36,Person 1,So this is the one I should be?
0:06:36,0:06:38,Person 2,"Which one, show?"
0:06:38,0:06:40,Person 2,Pink one?
0:06:40,0:06:42,Person 2,"No, no, arch like thing."
0:06:42,0:06:44,Person 2,Four dots.
0:06:44,0:06:46,Person 1,Four dots.
0:06:46,0:06:48,Person 1,"Pink, arch like thing."
0:06:48,0:06:50,Person 3,"Okay, this one?"
0:06:50,0:06:52,Person 1,Yeah.
0:06:52,0:06:54,Person 1,"Okay, so I should keep this here?"
0:06:52,0:06:53,Person 2 ,Take it.
0:06:54,0:06:56,Person 2,"Yeah, middle."
0:06:56,0:06:58,Person 2,Middle.
0:06:57,0:06:58,Person 1,Okay.
0:06:58,0:07:00,Person 2,"Yeah, you keep the model a little above."
0:07:00,0:07:04,Person 2,"I'm able to see the building blocks, but not the model."
0:07:04,0:07:06,Person 2,"Yeah, a little more."
0:07:06,0:07:08,Person 2,Yeah.
0:07:10,0:07:12,Person 1,So you can see the model?
0:07:12,0:07:14,Person 2,"No, no, you bend down now."
0:07:14,0:07:16,Person 2,"Now the screen, yeah."
0:07:16,0:07:18,Person 2,"Now I can see, yeah."
0:07:18,0:07:20,Person 1,"Now I'm fine, right?"
0:07:20,0:07:22,Person 2,Yeah.
0:07:22,0:07:24,Person 2,"No, that art should be like with the green one."
0:07:24,0:07:26,Person 2,It should be above the green.
0:07:26,0:07:30,Person 1,"Arch, above the green."
0:07:32,0:07:36,Person 2,"Like this side of the, you have a page above the two ones,"
0:07:36,0:07:40,Person 2,"but it is not above the two ones, it's above the 10 dot ones."
0:07:40,0:07:42,Person 1,Here?
0:07:42,0:07:46,Person 2,"I'm not able to see the model, like little, little low."
0:07:46,0:07:48,Person 2,"Yeah, yeah."
0:07:50,0:07:52,Person 1,Correct?
0:07:52,0:07:52,Person 2,Yeah.
0:07:52,0:07:54,Person 2,"Now the arch width,"
0:07:54,0:07:58,Person 2,"six dot arch is there, right?"
0:07:58,0:08:00,Person 1,Yeah.
0:08:00,0:08:02,Person 2,"Stick that on the above, like which you did before."
0:08:02,0:08:04,Person 2,Yeah.
0:08:04,0:08:06,Person 1,Okay.
0:08:06,0:08:08,Person 2,Show me.
0:08:08,0:08:10,Person 2,"Yeah, correct."
