ai_row,ai_start,ai_end,ai_speaker,ai_text,corr_start,corr_end,corr_speaker,corr_text,overlap_seconds
18,0:01:26,0:01:28,Person 3,"Okay, I'm just...",0:01:26,0:01:28,Person 1,"Okay, I'm just...",2
19,0:01:32,0:01:34,Person 3,"Okay, yeah, I got it.",0:01:32,0:01:34,Person 1,"Okay, yeah, I got it.",2
20,0:01:34,0:01:36,Person 3,"Yeah, I got it.",0:01:34,0:01:36,Person 1,"Yeah, I got it.",2
21,0:01:36,0:01:38,Person 3,"Yeah, I got it.",0:01:36,0:01:38,Person 1,"Yeah, I got it.",2
25,0:02:16,0:02:18,Person 3,"Okay, okay.",0:02:16,0:02:18,Person 1,"Okay, okay.",2
27,0:02:20,0:02:22,Person 3,"Oh, okay.",0:02:20,0:02:22,Person 1,"Oh, okay.",2
31,0:02:32,0:02:34,Person 2,"Hi, Shankar.",0:02:32,0:02:34,Person 1,"Hi, Shankar.",2
32,0:02:34,0:02:36,Person 1,"Hi, I'm good.",0:02:34,0:02:36,Person 2,"Hi, I'm good.",2
37,0:02:50,0:02:52,Person 1,Slim one.,0:02:50,0:02:52,Person 2,Slim one.,2
49,0:03:20,0:03:22,Person 3,"Yeah, yeah, like that.",0:03:20,0:03:22,Person 2,"Yeah, yeah, like that.",2
56,0:03:36,0:03:38,Person 1,"No, the model...",0:03:36,0:03:38,Person 2,"No, the model...",2
58,0:03:40,0:03:42,Person 3,No?,0:03:40,0:03:42,Person 1,Now?,2
59,0:03:42,0:03:44,Person 1,Little below.,0:03:42,0:03:44,Person 2,Little below.,2
60,0:03:44,0:03:46,Person 3,Little.,0:03:44,0:03:46,Person 2,Little.,2
61,0:03:46,0:03:48,Person 3,No?,0:03:46,0:03:48,Person 1,Now?,2
62,0:03:48,0:03:50,Person 1,No?,0:03:48,0:03:50,Person 2,Uh huh.,2
63,0:03:50,0:03:52,Person 3,Okay.,0:03:50,0:03:52,Person 1,Okay.,2
72,0:04:26,0:04:28,Person 1,"Little below, yeah.",0:04:26,0:04:28,Person 2,"Little below, little below, yeah.",2
75,0:04:32,0:04:34,Person 3,Okay.,0:04:32,0:04:34,Person 1,Okay.,2
76,0:04:44,0:04:46,Person 3,I couldn't able to look.,0:04:44,0:04:46,Person 1,I couldn't able to look.,2
78,0:04:50,0:04:52,Person 3,So I put it slightly.,0:04:50,0:04:52,Person 1,So I put it slightly.,2
81,0:04:58,0:05:00,Person 3,Okay.,0:04:58,0:05:00,Person 1,Okay.,2
90,0:05:42,0:05:44,Person 3,Yeah.,0:05:42,0:05:44,Person 2,Yeah.,2
96,0:06:14,0:06:16,Person 3,Yeah.,0:06:14,0:06:16,Person 2,Yeah.,2
97,0:06:16,0:06:18,Person 3,Center point?,0:06:16,0:06:18,Person 1,Center point?,2
99,0:06:20,0:06:22,Person 3,"Okay, I don't know where to start.",0:06:20,0:06:22,Person 1,"Okay, I don't know where to start.",2
108,0:06:42,0:06:44,Person 1,Four dots.,0:06:42,0:06:44,Person 2,Four dots.,2
114,0:06:54,0:06:56,Person 1,"Yeah, middle.",0:06:54,0:06:56,Person 2,"Yeah, middle.",2
118,0:07:04,0:07:06,Person 3,"Yeah, a little more.",0:07:04,0:07:06,Person 2,"Yeah, a little more.",2
123,0:07:16,0:07:18,Person 1,"Now I can see, yeah.",0:07:16,0:07:18,Person 2,"Now I can see, yeah.",2
