ai_row,ai_start,ai_end,ai_speaker,ai_text
134,0:07:48,0:07:50,Person 1,"Yeah, yeah."
191,0:10:12,0:10:14,Person 3,Okay.
264,0:12:42,0:12:44,Person 2,Okay.
265,0:12:44,0:12:46,Person 3,Okay.
266,0:12:46,0:12:48,Person 1,Okay.
267,0:12:48,0:12:50,Person 2,Okay.
268,0:12:50,0:12:52,Person 2,Okay.
269,0:12:52,0:12:54,Person 2,Okay.
271,0:12:56,0:12:58,Person 3,Okay.
273,0:13:00,0:13:02,Person 3,Okay.
278,0:13:10,0:13:12,Person 1,"Two dark red, triangle."
279,0:13:12,0:13:14,Person 1,"Two dark red, triangle."
280,0:13:14,0:13:16,Person 3,"Two dark red, triangle."
317,0:14:46,0:14:48,Person 3,This one?
324,0:15:00,0:15:02,Person 2,That's the way it looks like a fan.
325,0:15:04,0:15:06,Person 3,Show me.
326,0:15:06,0:15:08,Person 2,"Yeah, one second."
